 ;Pedido Id;Data/Hora;Situação;Situação;Situação - Transporte;Marketplace;Forma de Pagamento;Forma de Recebimento;Serviço Transportadora;Valor Produto;Valor Desconto;Valor Acréscimo;Valor Frete;Valor Frete Transportadora;Valor Total;Valor Total Pedido;Loja;Obs.;Origem - Pedido
transporte;1357;16/09/2024 08:01;7;7 - Transporte;Em Transporte;;2 - Cartão - MasterCard;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;23,6;0;0;8,47;8,47;32,07;32,07;1 - Dica de Madame;;Site
transporte;1356;16/09/2024 00:42;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;17,8;0;0;5,48;25;17,8;17,8;1 - Dica de Madame;;Marketplace
pagamento-cancelado;1355;15/09/2024 22:37;2;2 - Cancelado Pagamento;Não Enviado;;1 - Boleto Bancário;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;23,6;0;0;16,13;16,13;39,73;39,73;1 - Dica de Madame;;Site
pagamento-cancelado;1354;15/09/2024 21:41;2;2 - Cancelado Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;124,9;20;0;34,13;25;104,9;104,9;1 - Dica de Madame;;Marketplace
transporte;1353;15/09/2024 21:17;7;7 - Transporte;Em Transporte;;2 - Cartão - MasterCard;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;6,9;0;0;8,68;8,68;15,58;15,58;1 - Dica de Madame;;Site
transporte;1352;15/09/2024 20:59;7;7 - Transporte;Em Transporte;;1 - Boleto Bancário;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;6,9;0;0;9,49;9,49;16,39;16,39;1 - Dica de Madame;;Site
pagamento-cancelado;1351;15/09/2024 19:01;2;2 - Cancelado Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;57,9;13;0;15,96;25;44,9;44,9;1 - Dica de Madame;;Marketplace
pagamento-cancelado;1350;15/09/2024 17:21;2;2 - Cancelado Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;57,9;13;0;5,48;25;44,9;44,9;1 - Dica de Madame;;Marketplace
transporte;1349;15/09/2024 16:21;7;7 - Transporte;Em Transporte;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;40,8;1,23;0;9,11;9,11;48,68;48,68;1 - Dica de Madame;;Site
transporte;1348;15/09/2024 15:21;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;46,9;2;0;5,48;25;44,9;44,9;1 - Dica de Madame;;Marketplace
transporte;1347;15/09/2024 13:27;7;7 - Transporte;Em Transporte;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;19,8;0,59;0;10,55;10,55;29,76;29,76;1 - Dica de Madame;;Site
transporte;1346;15/09/2024 13:06;7;7 - Transporte;Em Transporte;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;23,6;0,71;0;8,47;8,47;31,36;31,36;1 - Dica de Madame;;Site
transporte;1345;15/09/2024 12:19;7;7 - Transporte;Em Transporte;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;28,5;0,86;0;8,63;8,63;36,27;36,27;1 - Dica de Madame;;Site
transporte;1344;15/09/2024 09:36;7;7 - Transporte;Em Transporte;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;23,6;0,71;0;8,33;8,33;31,22;31,22;1 - Dica de Madame;;Site
transporte;1343;15/09/2024 09:31;7;7 - Transporte;Em Transporte;;2 - Cartão - MasterCard;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;23,6;0;0;9,71;9,71;33,31;33,31;1 - Dica de Madame;;Site
transporte;1342;15/09/2024 08:21;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;38,9;9;0;7,17;25;29,9;29,9;1 - Dica de Madame;;Marketplace
pagamento-cancelado;1341;15/09/2024 08:05;2;2 - Cancelado Pagamento;Não Enviado;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;23,6;0,71;0;8,33;8,33;31,22;31,22;1 - Dica de Madame;;Site
pagamento-cancelado;1340;14/09/2024 22:45;2;2 - Cancelado Pagamento;Não Enviado;;2 - Cartão - MasterCard;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;24,9;0;0;8,34;8,34;33,24;33,24;1 - Dica de Madame;;Site
pagamento-cancelado;1339;14/09/2024 22:27;2;2 - Cancelado Pagamento;Não Enviado;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;6,9;0,21;0;8,65;8,65;15,34;15,34;1 - Dica de Madame;;Site
transporte;1338;14/09/2024 19:42;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;26,9;2;0;5,48;25;24,9;24,9;1 - Dica de Madame;;Marketplace
transporte;1337;14/09/2024 16:01;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;33,8;0;0;5,48;25;33,8;33,8;1 - Dica de Madame;;Marketplace
transporte;1336;14/09/2024 15:01;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;26,9;2;0;5,48;25;24,9;24,9;1 - Dica de Madame;;Marketplace
transporte;1335;14/09/2024 12:42;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;29,9;0;0;5,48;25;29,9;29,9;1 - Dica de Madame;;Marketplace
transporte;1334;14/09/2024 12:12;7;7 - Transporte;Em Transporte;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;6,9;0,21;0;9,12;9,12;15,81;15,81;1 - Dica de Madame;;Site
